ó\îıëIî≤No.,Brixè„,BrixíÜ,BrixïΩãœ,ëIî≤(1/0)
988,17.4,10,13.7,0
989,16.6,12.6,14.6,0
990,16.6,12.8,14.7,0
991,17.2,9.2,13.2,0
992,17.4,10.8,14.1,0
993,16.8,13,14.9,0
994,17.4,10,13.7,0
995,17,9.2,13.1,0
996,18.6,12.2,15.4,1
997,16.2,8.6,12.4,0
998,16.6,12.2,14.4,0
999,20.8,15.6,18.2,1
1000,13.6,8.4,11,0
1001,18.4,9.2,13.8,0
1002,18.4,11.2,14.8,0
1003,18.6,12.6,15.6,1
1004,17.2,11.8,14.5,0
1005,17.6,12.2,14.9,1
1006,16.8,11,13.9,0
1007,15.6,14.4,15,0
1008,20.2,15.8,18,1
1009,17.4,12.6,15,1
1010,17.8,16,16.9,1
1011,17.6,10.6,14.1,0
1012,15.6,10.6,13.1,0
1013,18.6,17.2,17.9,1
1014,16.6,14.4,15.5,1
1015,15.2,16.6,15.9,1
1016,16.8,11.8,14.3,0
1017,16.4,10.8,13.6,0
1018,17.8,13.4,15.6,1
1019,17,12.4,14.7,0
1020,18.2,13.8,16,1
1021,17.6,12.8,15.2,0
1022,15.2,13.4,14.3,0
1023,18.8,16,17.4,1
1024,16.4,10.2,13.3,0
1025,18.8,13.6,16.2,1
1026,17.4,9.2,13.3,0
1027,18,10.4,14.2,0
1028,18.2,14.2,16.2,1
1029,18.6,14.2,16.4,1
1030,21,18.8,19.9,1
1031,18.2,12,15.1,1
1032,18.6,14.2,16.4,0
1033,17.2,12.4,14.8,0
1034,18.8,12.4,15.6,1
1035,19,16.2,17.6,1
1036,17,14.2,15.6,1
1037,15.4,12.6,14,0
1038,16.6,13.2,14.9,0
1039,17.8,12.2,15,1
1040,18,14.8,16.4,1
1041,17.6,13.2,15.4,1
1042,16.8,14.8,15.8,1
1043,19.4,16.2,17.8,1
1044,16.8,15.8,16.3,0
1045,16.8,10.6,13.7,0
1046,18.4,13.2,15.8,1
1047,18.2,13,15.6,1
1048,17.4,13.6,15.5,0
1049,18.2,13.6,15.9,1
1050,17.6,13.6,15.6,1
1051,16.8,9.6,13.2,0
1052,18.6,14.6,16.6,1
1053,16.6,12.6,14.6,0
1054,17.8,13.2,15.5,1
1055,15.6,10.8,13.2,0
1056,15.6,15.6,15.6,1
1057,17.6,14.8,16.2,1
1058,16.4,13.4,14.9,0
1059,19.8,19.2,19.5,1
1060,17.4,12.6,15,0
1061,19,14.8,16.9,1
1062,16.4,13.6,15,0
1063,18.2,12,15.1,1
1064,15,12.6,13.8,0
1065,18,15,16.5,1
1066,16.6,13.2,14.9,0
1067,17.2,9.8,13.5,0
1068,13,13.6,13.3,0
1069,17.6,11.2,14.4,0
1070,20.2,17.8,19,1
1071,17.8,12.2,15,1
1072,19.4,16,17.7,1
1073,18.2,13.4,15.8,1
1074,17.6,11.6,14.6,0
1075,19.2,14.4,16.8,1
1076,17.6,10.8,14.2,0
1077,18,14.4,16.2,0
1078,21.2,16.2,18.7,1
1079,17.6,14.8,16.2,1
1080,18.2,12.4,15.3,1
1081,18,10.6,14.3,0
1082,19.6,14.8,17.2,1
1083,17.4,12.6,15,0
1084,18,16.4,17.2,1
1085,14.8,13.6,14.2,0
1086,19.4,13.2,16.3,1
1087,18.4,14,16.2,1
1088,18.2,14.8,16.5,1
1089,16.2,11.8,14,0
1090,16.4,13,14.7,0
1091,15.4,11.2,13.3,0
1092,16.6,12,14.3,0
1093,15.2,11.2,13.2,0
1094,18.6,19.2,18.9,1
1095,15,10.2,12.6,0
1096,15.2,10.6,12.9,0
1097,19.8,15,17.4,0
1098,18,10.8,14.4,0
1099,19,19.2,19.1,1
1100,16.4,12.4,14.4,0
1101,18.4,16.2,17.3,1
1102,18.4,17.6,18,1
1103,17.8,13.4,15.6,1
1104,15.8,9.6,12.7,0
1105,15.6,11.4,13.5,0
1106,18,14,16,1
1107,18,12.8,15.4,1
1108,13,6.8,9.9,0
1109,15,11.6,13.3,0
1110,15,11.8,13.4,0
1111,16.6,9,12.8,0
1112,15.6,13,14.3,0
1113,17.8,13,15.4,0
1114,17.2,13,15.1,0
1115,16,12.2,14.1,0
1116,16.8,14.6,15.7,0
1117,18.2,11.4,14.8,0
1118,13.6,8,10.8,0
1119,16.8,11.8,14.3,0
1120,16.2,15,15.6,0
1121,16.8,8,12.4,0
1122,19.2,13,16.1,1
1123,14.4,8.6,11.5,0
1124,19.4,9.6,14.5,0
1125,17.6,9.4,13.5,0
1126,18,15.4,16.7,1
1127,16,12,14,0
1128,16.4,9,12.7,0
1129,12.8,13,12.9,0
1130,16.4,10.2,13.3,0
1131,16.4,13.2,14.8,0
1132,18,12.8,15.4,0
1133,16.4,12.4,14.4,0
1134,15.8,10,12.9,0
1135,16.8,13.2,15,0
1136,15.2,13.6,14.4,0
1137,18.2,12.6,15.4,0
1138,17,12,14.5,0
1139,17.8,13,15.4,0
1140,15.4,10.2,12.8,0
1141,18.4,13.4,15.9,1
1142,17.8,14,15.9,1
1143,15.6,8.4,12,0
1144,16.2,11.8,14,0
1145,18.6,11,14.8,0
1146,17,11.2,14.1,0
1147,19,11.6,15.3,1
1148,19.4,12.2,15.8,1
1149,20,14.8,17.4,1
1150,18.4,12.2,15.3,0
1151,16.4,12,14.2,0
1152,17.2,10.2,13.7,0
1153,15.8,11.6,13.7,0
1154,18.6,17,17.8,1
1155,18.8,14.6,16.7,1
1156,16,7.4,11.7,0
1157,17.8,14.4,16.1,1
1158,14,8,11,0
1159,19,9,14,0
1160,18.4,12,15.2,0
1161,17,7,12,0
1162,18.2,13,15.6,1
1163,12.2,6,9.1,0
1164,20.6,18,19.3,1
1165,19.4,16.8,18.1,1
1166,15,13,14,0
1167,18,17,17.5,1
1168,18.2,13.2,15.7,1
1169,17,16.2,16.6,1
1170,14.2,9.8,12,0
1171,16.8,13,14.9,0
1172,15,7.2,11.1,0
1173,18.8,17.8,18.3,1
1174,15,14.8,14.9,0
1175,19,18.6,18.8,1
1176,19.6,15,17.3,1
1177,16,15.4,15.7,1
1178,18.4,13.2,15.8,1
1179,16,10.8,13.4,0
1180,20,16,18,1
1181,18.8,14.2,16.5,1
1182,19.2,17.4,18.3,1
1183,19.8,13.4,16.6,1
1184,16.2,12.2,14.2,0
1185,16,14,15,0
1186,16.6,8.4,12.5,0
1187,19,17.4,18.2,1
1188,19.4,13,16.2,1
1189,21.6,18,19.8,1
1190,19.4,17,18.2,0
1191,20.8,14,17.4,1
1192,21.2,8.6,14.9,0
1193,14,15,14.5,0
1194,16.8,11,13.9,0
1195,17,12.8,14.9,0
1196,18,9,13.5,0
1197,16.4,13.8,15.1,0
1198,19.8,12,15.9,1
1199,19.4,13.8,16.6,1
1200,21.8,21.2,21.5,1
1201,16.2,10.8,13.5,0
1202,12.2,10.2,11.2,0
1203,17,16.2,16.6,0
1204,19,17.2,18.1,0
1205,19,13,16,1
1206,20.6,11,15.8,1
1207,17,10.2,13.6,0
1208,18.6,14.8,16.7,1
1209,19,12,15.5,1
1210,20.6,14.2,17.4,1
1211,18.8,16,17.4,1
1212,16.8,11.2,14,0
1213,16.2,13.2,14.7,0
1214,16.2,12.4,14.3,0
1215,16,10.4,13.2,0
1216,17,11,14,0
1217,16.8,13.2,15,1
1218,18.8,14.2,16.5,1
1219,21.8,14.2,18,1
1220,20.2,11,15.6,1
1221,20,14.8,17.4,1
1222,20,13,16.5,1
1223,19.4,12,15.7,1
1224,20,11,15.5,1
1225,19.2,12.2,15.7,1
1226,19.4,12.2,15.8,1
1227,20,13.6,16.8,1
1228,17.2,13,15.1,1
1229,17.4,10.8,14.1,0
1230,16.8,16.2,16.5,1
1231,20.4,19.2,19.8,1
1232,18.8,12.8,15.8,1
1233,18,14.2,16.1,1
1234,18.8,15.4,17.1,1
1235,19.4,18.4,18.9,1
1236,17.2,16.8,17,1
1237,18.4,17.6,18,1
1238,19.2,16.8,18,1
1239,15.8,15,15.4,0
1240,18.4,13,15.7,1
1241,18,9.4,13.7,0
1242,13.2,8.6,10.9,0
1243,18.4,17.6,18,1
1244,16.2,16.2,16.2,1
1245,15.4,16.4,15.9,1
1246,17,12.4,14.7,0
1247,17,16.2,16.6,1
1248,17.8,16,16.9,1
1249,14.6,8.2,11.4,0
1250,17,12,14.5,0
1251,18.4,17.8,18.1,1
1252,15.2,14,14.6,0
1253,18.8,15,16.9,1
1254,17,17.4,17.2,1
1255,16.4,16.4,16.4,0
1256,14.8,12,13.4,0
1257,11,10,10.5,0
1258,14.2,10,12.1,0
1259,19,12.2,15.6,1
1260,17,12,14.5,0
1261,17.2,16,16.6,1
1262,14.8,15.4,15.1,0
1263,15.8,14.2,15,0
1264,17.8,15.4,16.6,1
1265,20.8,20,20.4,1
1266,17.6,15.2,16.4,1
1267,20,15,17.5,1
1268,19.2,17.4,18.3,1
1269,20.4,12.8,16.6,1
1270,20.2,18,19.1,0
1271,21.4,17.2,19.3,0
1272,19.2,18.2,18.7,1
1273,20.8,20,20.4,1
1274,20.4,17.4,18.9,1
1275,18.2,17,17.6,1
1276,18.8,17.4,18.1,1
1277,20,17.8,18.9,1
1278,19.8,8.4,14.1,0
1279,19.6,16.8,18.2,1
1280,19.2,16.8,18,1
1281,15.4,8.8,12.1,0
1282,18.4,12.8,15.6,0
1283,16.4,9,12.7,0
1284,16.8,14.2,15.5,0
1285,16.8,15,15.9,0
1286,14.4,12.4,13.4,0
1287,18,14,16,1
1288,17.2,13,15.1,0
1289,15.2,7.2,11.2,0
1290,18.2,7.2,12.7,0
1291,19.2,13.2,16.2,0
1292,18.2,11.2,14.7,0
1293,15,11,13,0
1294,14.8,12.2,13.5,0
1295,16.8,9.8,13.3,0
1296,17.8,14.8,16.3,1
1297,18,11,14.5,0
1298,19.2,13.4,16.3,1
1299,19.2,14.4,16.8,1
1300,20,10,15,1
1301,19,16.6,17.8,1
1302,19.2,11.6,15.4,1
1303,20,13.8,16.9,1
1304,19.2,15,17.1,1
1305,20,10.4,15.2,0
1306,17.6,13.4,15.5,0
1307,19.2,16.2,17.7,1
1308,16.8,11.6,14.2,0
1309,18,13.2,15.6,0
1310,21.6,12,16.8,1
1311,17.6,14,15.8,0
1312,18,8,13,0
1313,14,8.4,11.2,0
1314,17,13.6,15.3,0
1315,17.4,14.8,16.1,0
1316,18,14.8,16.4,1
1317,17.2,15.4,16.3,1
1318,15.4,8.4,11.9,0
1319,20,14,17,1
1320,20.8,19.2,20,1
1321,17.8,14.2,16,1
1322,15.8,14.8,15.3,0
1323,15.6,9.8,12.7,0
1324,16.8,10,13.4,0
1325,20,11.4,15.7,0
1326,16.8,13,14.9,0
1327,17.6,13.2,15.4,0
1328,20,17,18.5,0
1329,19.8,16.8,18.3,1
1330,18.4,17,17.7,1
1331,18.8,14.4,16.6,0
1332,18,12.6,15.3,0
1333,16.2,8.8,12.5,0
1334,16.8,12.8,14.8,0
1335,14,10.4,12.2,0
1336,14.8,13.2,14,0
1337,15.6,10.4,13,0
1338,18,13.4,15.7,0
1339,19.4,17,18.2,0
1340,19.2,18.6,18.9,1
1341,18.8,16.8,17.8,1
1342,17.4,17.6,17.5,1
1343,19,11,15,0
1344,10.6,19,14.8,0
1345,19.4,18.8,19.1,1
1346,19,17.4,18.2,1
1347,20,18.2,19.1,1
1348,19.4,16.4,17.9,1
1349,18.8,17.8,18.3,1
1350,17.8,16.4,17.1,0
1351,17,15.2,16.1,1
1352,18.8,17.4,18.1,1
1353,19.8,16.4,18.1,1
1354,18.4,17.2,17.8,0
1355,19,17.4,18.2,1
1356,19.4,11,15.2,0
1357,18.8,14.2,16.5,1
1358,19.2,14.8,17,1
1359,17,12,14.5,0
1360,14,8.4,11.2,0
1361,15,11,13,0
1362,15.6,8.2,11.9,0
1363,18.6,9,13.8,0
1364,13.4,11.6,12.5,0
1365,18.4,17.2,17.8,1
1366,19,10,14.5,0
1367,17.4,13.4,15.4,0
1368,17,10,13.5,0
1369,16.4,11.2,13.8,0
1370,18.4,14,16.2,1
1371,16.6,12.4,14.5,0
1372,18,17.2,17.6,1
1373,15.4,15,15.2,0
1374,17,15.4,16.2,1
1375,19.2,14,16.6,1
1376,17.6,16.4,17,1
1377,18.4,15.2,16.8,0
1378,17,8.4,12.7,0
1379,17,7.4,12.2,0
1380,21,19.8,20.4,1
1381,21.4,18.2,19.8,1
1382,19,10,14.5,0
1383,18.2,17,17.6,0
1384,18,18.4,18.2,1
1385,20.2,15,17.6,1
1386,14.4,9,11.7,0
1387,18.2,14.2,16.2,1
1388,17,11,14,0
1389,19,12,15.5,1
1390,17,13.4,15.2,0
1391,19,16.2,17.6,1
1392,19.2,19.6,19.4,1
1393,17,7.6,12.3,0
1394,20,9,14.5,0
1395,17.2,11,14.1,0
1396,20.2,15,17.6,1
1397,18,13.8,15.9,0
1398,20,13.6,16.8,1
1399,20.4,11,15.7,1
1400,15,9.6,12.3,0
1401,17,13,15,0
1402,18,9.8,13.9,0
1403,20,16.8,18.4,1
1404,17,11.8,14.4,0
1405,18.6,11.8,15.2,0
1406,20.2,17.4,18.8,1
1407,17,13.8,15.4,0
1408,15.2,10,12.6,0
1409,16.4,13,14.7,0
1410,16.4,13.2,14.8,0
1411,15.8,11.2,13.5,0
1412,18.4,10,14.2,0
1413,17.8,19.8,18.8,1
1414,18,16.8,17.4,1
1415,18.4,12.4,15.4,0
1416,16,11.8,13.9,0
1417,21,14.8,17.9,1
1418,18.4,12.8,15.6,0
1419,18,13.4,15.7,0
1420,16.8,12.8,14.8,0
1421,15.4,15.2,15.3,0
1422,14,14.8,14.4,0
1423,15.6,12.8,14.2,0
1424,18.4,12.8,15.6,0
1425,19.4,16,17.7,1
1426,20.2,17.4,18.8,0
1427,23,20,21.5,1
1428,21,19.2,20.1,1
1429,20,9,14.5,0
1430,19,18.2,18.6,1
1431,18.2,16.2,17.2,0
1432,19.2,15.6,17.4,1
1433,21,19,20,1
1434,17.8,17,17.4,1
1435,17,10,13.5,0
1436,19.8,17.2,18.5,1
1437,20.2,14.2,17.2,1
1438,20,14.4,17.2,1
1439,20,17.8,18.9,1
1440,17.8,16.8,17.3,1
1441,19.2,11.2,15.2,0
1442,18.8,14.4,16.6,1
1443,18,9,13.5,0
1444,18.2,8,13.1,0
1445,14.4,9.4,11.9,0
1446,17,9.2,13.1,0
1447,18,10.6,14.3,1
1448,19,11.2,15.1,1
1449,20.8,13,16.9,1
1450,17,11.8,14.4,0
1451,20.2,16.8,18.5,1
1452,18.2,16.6,17.4,0
1453,19.4,14,16.7,1
1454,20.6,17,18.8,1
1455,17.2,7.6,12.4,0
1456,19,12,15.5,0
1457,19,14,16.5,1
1458,19.6,18,18.8,1
1459,20.2,15,17.6,1
1460,17.2,8.4,12.8,0
1461,19.6,11,15.3,1
1462,21.4,20.6,21,1
1463,20,9.6,14.8,1
1464,18.4,9.4,13.9,0
1465,18.4,11.2,14.8,0
1466,18,9.2,13.6,0
1467,19.4,18,18.7,1
1468,16.8,10,13.4,0
1469,19.4,16,17.7,1
1470,16.2,14.2,15.2,0
1471,18.6,9,13.8,0
1472,18,8,13,0
1473,19.4,14.4,16.9,1
1474,15.8,9.2,12.5,0
1475,20.2,19.4,19.8,1
1476,19.6,18.8,19.2,1
1477,19.4,10.2,14.8,1
1478,19,17.2,18.1,0
1479,19.6,10,14.8,0
1480,17.2,15.4,16.3,1
1481,19.4,14.6,17,1
1482,18.4,8.6,13.5,0
1483,16,12,14,0
1484,18.2,13.4,15.8,0
1485,19.2,14.2,16.7,1
1486,17.4,11.6,14.5,0
1487,18,10.2,14.1,0
1488,16.4,11.6,14,0
1489,18,14.8,16.4,1
1490,18.2,14.4,16.3,1
1491,14.6,10,12.3,0
1492,18.2,10.8,14.5,0
1493,14,11.2,12.6,0
1494,16,11,13.5,0
1495,15.8,13.8,14.8,0
1496,17.6,15.2,16.4,1
1497,13.4,14,13.7,0
1498,16.2,11,13.6,0
1499,15.4,12,13.7,0
1500,15,9.2,12.1,0
1501,16,15,15.5,1
1502,17.4,10.2,13.8,0
1503,12,11,11.5,0
1504,19.2,15,17.1,1
1505,15,8.8,11.9,0
1506,16.6,9.4,13,0
1507,18,11.4,14.7,0
1508,17.4,10.2,13.8,0
1509,13.2,15,14.1,0
1510,16,11.2,13.6,0
1511,18.2,15.8,17,1
1512,17.2,12,14.6,0
1513,17.6,8.6,13.1,0
1514,17,14.2,15.6,0
1515,16.8,14.2,15.5,1
1516,16.2,14,15.1,0
1517,20,14.8,17.4,1
1518,19.2,13.4,16.3,0
1519,18,16.2,17.1,1
1520,18,17.8,17.9,1
1521,16.2,14.6,15.4,0
1522,17.8,14.2,16,1
1523,13,11,12,0
1524,10.8,9.2,10,0
1525,13.2,11,12.1,0
1526,16,13.2,14.6,0
1527,15.8,8.4,12.1,0
1528,17.8,12.2,15,0
1529,17.8,16,16.9,1
1530,17,14.8,15.9,1
1531,16.2,15.4,15.8,1
1532,18.4,12.2,15.3,1
1533,17.4,12.4,14.9,0
1534,19.6,15.8,17.7,1
1535,16.4,15.2,15.8,0
1536,17.8,14,15.9,1
1537,18,10.2,14.1,0
1538,16,13.4,14.7,0
1539,15.2,9.8,12.5,0
1540,18.2,15,16.6,0
1541,17.2,13.2,15.2,1
1542,16.6,12,14.3,0
1543,15,10.8,12.9,0
1544,17.6,17.2,17.4,0
1545,17.4,13.2,15.3,0
1546,13.8,11.8,12.8,0
1547,13.8,10.4,12.1,0
1548,16,10,13,0
1549,16.4,8.2,12.3,0
1550,15.8,7.6,11.7,0
1551,16.2,14.8,15.5,1
1552,18,16.8,17.4,1
1553,16.2,11.8,14,0
1554,18,13.6,15.8,0
1555,17.2,13.4,15.3,0
1556,16.8,12.8,14.8,0
1557,19.8,19,19.4,1
1558,19.2,15,17.1,0
1559,18,17.2,17.6,1
1560,17,17.6,17.3,0
1561,16,14.8,15.4,1
1562,16,7.2,11.6,0
1563,18,13.2,15.6,1
1564,18,16.2,17.1,0
1565,18.6,17,17.8,1
1566,17.8,17,17.4,1
1567,16.4,10.2,13.3,0
1568,15,13.4,14.2,0
1569,15.8,15.2,15.5,1
1570,17.2,16.2,16.7,0
1571,16.8,16,16.4,1
1572,16.4,14.2,15.3,1
1573,18.2,10.4,14.3,0
1574,17.2,13,15.1,0
1575,18.4,9.8,14.1,0
1576,19.2,14.2,16.7,1
1577,19.8,10.2,15,1
1578,17.2,13,15.1,0
1579,18.2,15.2,16.7,1
1580,15.2,8,11.6,0
1581,18.8,9.2,14,0
1582,18.4,13.2,15.8,1
1583,18.2,14,16.1,1
1584,19,14.6,16.8,1
1585,16.6,10.2,13.4,0
1586,15.4,8.2,11.8,0
1587,16.6,11.2,13.9,0
1588,14.6,10.4,12.5,0
1589,20.2,14.8,17.5,1
1590,19.2,15,17.1,1
1591,20.2,16,18.1,0
1592,20,17.2,18.6,1
1593,15.6,8.8,12.2,0
1594,18.8,13.4,16.1,0
1595,19.2,17,18.1,0
1596,17,13.8,15.4,1
1597,17.2,15.8,16.5,0
1598,19,16,17.5,1
1599,18,15.8,16.9,0
1600,15.8,11.2,13.5,0
1601,18.2,15.2,16.7,0
1602,17.2,15.6,16.4,1
1603,16,13.2,14.6,0
1604,17.2,14,15.6,0
1605,15.4,11.2,13.3,0
1606,20,18.6,19.3,1
1607,20.2,17.2,18.7,1
1608,15,13.2,14.1,0
1609,17,15,16,1
1610,14,17.8,15.9,1
1611,20,17.8,18.9,1
1612,15,10.8,12.9,0
1613,17.2,15,16.1,1
1614,17.2,12.2,14.7,1
1615,19.2,16.4,17.8,1
1616,16.4,13.8,15.1,0
1617,17.2,9,13.1,0
1618,19.4,10,14.7,0
1619,19.4,10.8,15.1,1
1620,19.8,13.4,16.6,1
1621,18.8,14,16.4,0
1622,18.6,11.2,14.9,1
1623,16.8,8.8,12.8,0
1624,19.4,18.8,19.1,1
1625,16.2,12.8,14.5,0
1626,20.2,12.4,16.3,1
1627,17.8,17.2,17.5,1
1628,17.8,16.2,17,1
1629,16.2,12,14.1,0
1630,15.8,8.4,12.1,0
1631,18.2,16,17.1,1
1632,16,14.8,15.4,0
1633,18,11.2,14.6,0
1634,17.4,10.6,14,0
1635,15.4,12.2,13.8,0
1636,15.2,11,13.1,0
1637,16.4,15,15.7,1
1638,18.8,12.6,15.7,1
1639,18.2,14.8,16.5,1
1640,18,15,16.5,1
1641,19.8,17.4,18.6,1
1642,17.4,13.8,15.6,1
1643,19.4,13.2,16.3,0
1644,21.4,17.2,19.3,1
1645,20.2,15.4,17.8,1
1646,19.2,20.8,20,1
1647,19.4,18.4,18.9,1
1648,19,18,18.5,1
1649,20,19,19.5,1
1650,19,17.2,18.1,1
1651,18.8,10.8,14.8,0
1652,18.4,6.8,12.6,0
1653,13,10.8,11.9,0
1654,17.2,9.6,13.4,0
1655,19,18,18.5,1
1656,15.4,14.2,14.8,0
1657,18.2,17.8,18,1
1658,15.2,10,12.6,0
1659,15.8,13,14.4,0
1660,15.4,11.4,13.4,0
1661,16.8,15.2,16,1
1662,15,11,13,0
1663,14.6,8.8,11.7,0
1664,19.2,16.4,17.8,1
1665,19.8,16,17.9,1
1666,18.6,11.6,15.1,1
1667,17,12.6,14.8,0
1668,14,8.6,11.3,0
1669,17,8.6,12.8,0
1670,19,11.6,15.3,1
1671,15.8,12.4,14.1,0
1672,20.4,12.2,16.3,1
1673,19.6,14.8,17.2,1
1674,18.8,16,17.4,1
1675,16.4,8.2,12.3,0
1676,19.2,17,18.1,1
1677,18.2,16.6,17.4,1
1678,17.8,16.2,17,0
1679,18.6,14,16.3,0
1680,13.6,11.2,12.4,0
1681,15,12.6,13.8,0
1682,21.6,18.6,20.1,1
1683,16.6,10.8,13.7,0
1684,19.8,15.2,17.5,1
1685,17.2,13.8,15.5,0
1686,19.8,12.2,16,1
1687,17.4,11.2,14.3,0
1688,18.8,14.2,16.5,0
1689,17.4,11.8,14.6,0
1690,16.6,10.8,13.7,0
1691,15,11.2,13.1,0
1692,17.6,11.6,14.6,0
1693,15.6,15,15.3,0
1694,17.2,10,13.6,0
1695,16.4,15.6,16,1
1696,18.4,9,13.7,0
1697,16,15,15.5,0
1698,15.6,18,16.8,1
1699,17.4,9.2,13.3,0
1700,18.2,14.8,16.5,1
1701,17,9,13,0
1702,18.2,15.4,16.8,1
1703,14.6,12.4,13.5,0
1704,20.6,15.4,18,0
1705,18.2,12.6,15.4,0
1706,19,14.8,16.9,1
1707,19.6,13.4,16.5,1
1708,19.4,12.2,15.8,0
1709,19.2,14,16.6,1
1710,19.4,10.6,15,0
1711,18.6,13.4,16,1
1712,17,11,14,0
1713,19.2,14,16.6,0
1714,15.8,10,12.9,0
1715,18.2,11.6,14.9,0
1716,16.4,8.4,12.4,0
1717,13,10.4,11.7,0
1718,18.2,12.6,15.4,1
1719,18.8,16.4,17.6,1
1720,16,11.2,13.6,0
1721,14.8,11,12.9,0
1722,17.6,14,15.8,1
1723,18.4,15.2,16.8,0
1724,16,14.6,15.3,1
1725,18.6,9.6,14.1,0
1726,16.2,12.8,14.5,0
1727,16.6,14.8,15.7,0
1728,15.8,11.6,13.7,0
1729,14.4,11.2,12.8,0
1730,14,10.8,12.4,0
1731,14.6,10.8,12.7,0
1732,12.6,7.8,10.2,0
1733,14.6,8.8,11.7,0
1734,15.6,11.6,13.6,0
1735,16.2,14.2,15.2,1
1736,16,12.6,14.3,0
1737,17.2,14.6,15.9,1
1738,15,11.6,13.3,0
1739,15.8,15,15.4,0
1740,16.4,11.6,14,0
1741,15.2,12.6,13.9,0
1742,15.4,10.2,12.8,0
1743,20,16.6,18.3,1
1744,15.8,9.6,12.7,0
1745,18.2,13,15.6,0
1746,19.2,14.6,16.9,1
1747,18.8,12.4,15.6,1
1748,18.2,9.6,13.9,0
1749,13.2,12.4,12.8,0
1750,15.8,12.2,14,0
1751,16.2,16.4,16.3,1
1752,14.6,8.8,11.7,0
1753,18.6,15.4,17,1
1754,17.2,11.2,14.2,0
1755,15.6,7.6,11.6,0
1756,15,9.4,12.2,0
1757,14.2,9.2,11.7,0
1758,16.8,10.6,13.7,0
1759,15.6,9.4,12.5,0
1760,17.6,10.4,14,0
1761,18.2,8.4,13.3,0
1762,17,9.6,13.3,0
1763,20.2,10.6,15.4,1
1764,18.2,16,17.1,1
1765,17.2,13.6,15.4,1
1766,18.8,12.6,15.7,0
1767,17,10,13.5,0
1768,15.8,12.8,14.3,0
1769,15.6,13.2,14.4,0
1770,19,13.4,16.2,0
1771,17.8,12.4,15.1,0
1772,17.2,14.8,16,1
1773,19.8,17.6,18.7,1
1774,16.8,13.6,15.2,0
1775,18.6,12.4,15.5,1
1776,16.6,15.8,16.2,1
1777,17.6,13.2,15.4,1
1778,15,12.8,13.9,0
1779,16.6,14,15.3,0
1780,16.6,13,14.8,0
1781,15,10,12.5,0
1782,16.6,13.6,15.1,0
1783,16.6,14.4,15.5,0
1784,15.2,11.6,13.4,0
1785,18.2,15,16.6,1
1786,19,13.2,16.1,1
1787,17,10.2,13.6,0
1788,17.2,12.4,14.8,0
1789,17.4,10.4,13.9,0
1790,14.2,10.2,12.2,0
1791,16,11.2,13.6,0
1792,19.2,14,16.6,1
1793,16.2,12.4,14.3,0
1794,16.4,8.4,12.4,0
1795,15.8,12.8,14.3,0
1796,20.2,14.8,17.5,1
1797,17.4,13.2,15.3,0
1798,16.4,9.2,12.8,0
1799,20.2,13.2,16.7,1
1800,18.4,16.4,17.4,1
1801,18,11.6,14.8,0
1802,20,17.8,18.9,1
1803,13.4,13.6,13.5,0
1804,17.2,10.4,13.8,0
1805,18,12.2,15.1,0
1806,18.4,14,16.2,0
1807,17.4,12,14.7,0
1808,19.2,16,17.6,1
1809,13.8,10.4,12.1,0
1810,16.4,14,15.2,0
1811,18.8,16.8,17.8,1
1812,14.6,14.6,14.6,0
1813,18.4,9.2,13.8,0
1814,17.4,16.6,17,1
1815,15.8,16.8,16.3,0
1816,19.2,16.2,17.7,1
1817,18.2,15.4,16.8,1
1818,18.4,17.2,17.8,1
1819,17.2,14.8,16,1
1820,17.8,15.2,16.5,0
1821,17.6,13.8,15.7,0
1822,17.6,17.4,17.5,1
1823,16.6,12.8,14.7,0
1824,15.8,13.6,14.7,0
1825,16.4,14.4,15.4,0
1826,19.6,17.2,18.4,1
1827,17,14.2,15.6,0
1828,18.2,14.2,16.2,1
1829,18,13,15.5,1
1830,14.4,10.4,12.4,0
1831,17.4,12.4,14.9,0
1832,14.2,14,14.1,0
1833,17,13.2,15.1,0
1834,16.2,13.2,14.7,0
1835,15.2,15,15.1,0
1836,16.2,8.2,12.2,0
1837,16.6,15.4,16,0
1838,18,10,14,0
1839,17.2,8.2,12.7,0
1840,19.6,17.6,18.6,1
1841,19,18.2,18.6,1
1842,21,16.2,18.6,1
1843,17.2,15,16.1,0
1844,16,9.6,12.8,0
1845,18.4,16.2,17.3,1
1846,16.4,9,12.7,0
1847,20.6,16.2,18.4,1
1848,20,15.6,17.8,1
1849,18.6,13.2,15.9,0
1850,16.8,14.2,15.5,0
1851,15,9.2,12.1,0
1852,19.8,17.4,18.6,1
1853,17.2,14.8,16,1
1854,19.2,14.4,16.8,1
1855,16.4,13.2,14.8,0
1856,16.8,11.2,14,0
1857,15,8.6,11.8,0
1858,19.8,13.6,16.7,0
1859,16.8,10.6,13.7,0
1860,16.6,10.8,13.7,0
1861,17,12.4,14.7,0
1862,17.4,12.2,14.8,0
1863,17.4,11.6,14.5,0
1864,17.6,13.6,15.6,0
1865,20.6,21.2,20.9,1
1866,16.8,10.2,13.5,0
1867,18.6,14.2,16.4,1
1868,15.6,11.2,13.4,0
1869,18.4,9.4,13.9,0
1870,19.2,15.4,17.3,1
1871,17.4,9,13.2,0
1872,18.2,12.4,15.3,1
1873,15,9.2,12.1,0
1874,19.2,13.4,16.3,1
